RADICADO,FECHA,HORA,DÍA DE LA SEMANA,CLASE DE VEHICULO,TIPO DE SERVICIO,TIPO DE VICTIMA,SEXO,ESTADO DE BEODEZ,RESULTADO DE BEODEZ,GRAVEDAD,CLASE DE ACCIDENTE,CAUSA,DIRECCIÓN,BARRIO,AREA,Coordenadas
2180040,04/01/2018,6:35 a.m.,Jueves,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Calle 36 D Sur Carrera 27,Vereda El Escobero,Urbana,"(6.162479576, -75.57022257)"
2180040,04/01/2018,6:35 a.m.,Jueves,Campero,Particular,Conductor,Femenino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Calle 36 D Sur Carrera 27,Vereda El Escobero,Urbana,"(6.162479576, -75.57022257)"
2180048,05/01/2018,12:00 a.m.,Viernes,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Carrera 40 Calle 36  Sur,Zona Centro,Urbana,"(6.17006539, -75.58502916)"
2180048,05/01/2018,12:00 a.m.,Viernes,Motocicleta,Particular,Motociclista,Femenino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Carrera 40 Calle 36  Sur,Zona Centro,Urbana,"(6.17006539, -75.58502916)"
2180034,05/01/2018,1:00 p.m.,Viernes,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Herido,Atropello,Exceso de velocidad,Carrera 24 E Calle 40  Sur,El Salado,Urbana,
2180024,05/01/2018,11:00 p.m.,Viernes,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Herido,Caida Ocupante,Impericia en el manejo,Tramo 371 Kilometro  8,Vereda El Escobero,Rural,
2180055,05/01/2018,10:10 p.m.,Viernes,Campero,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Carrera 50 Calle 38  Sur,Las Vegas,Urbana,
2180055,05/01/2018,10:10 p.m.,Viernes,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Carrera 50 Calle 38  Sur,Las Vegas,Urbana,
2180023,05/01/2018,12:10 a.m.,Viernes,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Muerto,Choque,Transitar entre vehiculos,Carrera 43 A Calle 46 A Sur,Avenida El Poblado,Urbana,"(6.163261247, -75.59645283)"
2180023,05/01/2018,12:10 a.m.,Viernes,Bicicleta,Sin Registro,Ciclista,Masculino,No,Sin Registro,Muerto,Choque,Transitar entre vehiculos,Carrera 43 A Calle 46 A Sur,Avenida El Poblado,Urbana,"(6.163261247, -75.59645283)"
2180047,05/01/2018,4:20 p.m.,Viernes,Automovil,Particular,Conductor,Femenino,No,Sin Registro,Solo Daños,Choque,No respetar prelacion,Tramo 372 Kilometro  12,Vereda Palmas,Rural,
2180047,05/01/2018,4:20 p.m.,Viernes,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,No respetar prelacion,Tramo 372 Kilometro  12,Vereda Palmas,Rural,
2180045,05/01/2018,3:30 p.m.,Viernes,Bus,Publico,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Reverso imprudente,Carrera 39 E Calle 48 F Sur,Loma Del Barro,Urbana,
2180045,05/01/2018,3:30 p.m.,Viernes,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Reverso imprudente,Carrera 39 E Calle 48 F Sur,Loma Del Barro,Urbana,
2180049,05/01/2018,3:30 p.m.,Viernes,Camioneta,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Girar bruscamente,Carrera 48 Calle 36 A Sur,Las Vegas,Urbana,"(6.173906662, -75.59187541)"
2180033,05/01/2018,1:30 p.m.,Viernes,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Herido,Atropello,Cruzar sin observar,Carrera 41 Calle 37  Sur,Zona Centro,Urbana,"(6.169735041, -75.58616625)"
2180049,05/01/2018,3:30 p.m.,Viernes,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Girar bruscamente,Carrera 48 Calle 36 A Sur,Las Vegas,Urbana,"(6.173906662, -75.59187541)"
2180041,05/01/2018,12:30 a.m.,Viernes,Automovil,Publico,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Carrera 48 Calle 25  Sur,Las Vegas,Urbana,"(6.185059174, -75.58329333)"
2180041,05/01/2018,12:30 a.m.,Viernes,Camioneta,Particular,Conductor,Femenino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Carrera 48 Calle 25  Sur,Las Vegas,Urbana,"(6.185059174, -75.58329333)"
2180031,05/01/2018,7:40 a.m.,Viernes,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Herido,Caida Ocupante,Impericia en el manejo,Carrera 43 A Transversal 27 A Sur,Villa Grande,Urbana,"(6.178993539, -75.58360591)"
2180042,05/01/2018,9:50 a.m.,Viernes,Automovil,Publico,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,No respetar prelacion,Carrera 50 Calle 37  Sur,Las Vegas,Urbana,
2180042,05/01/2018,9:50 a.m.,Viernes,Bus,Publico,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,No respetar prelacion,Carrera 50 Calle 37  Sur,Las Vegas,Urbana,
2180052,06/01/2018,3:00 p.m.,Sábado,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Calle 37  Sur Carrera 50,Las Vegas,Urbana,
2180052,06/01/2018,3:00 p.m.,Sábado,Camioneta,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Calle 37  Sur Carrera 50,Las Vegas,Urbana,
2180050,06/01/2018,12:10 a.m.,Sábado,Automovil,Publico,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Transitar entre vehiculos,Calle 38  Sur Carrera 41,Zona Centro,Urbana,"(6.169244976, -75.58658807)"
2180050,06/01/2018,12:10 a.m.,Sábado,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Solo Daños,Choque,Transitar entre vehiculos,Calle 38  Sur Carrera 41,Zona Centro,Urbana,"(6.169244976, -75.58658807)"
2180026,06/01/2018,9:30 a.m.,Sábado,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Herido,Choque,Impericia en el manejo,Diagonal 30 B Transversal 32 D Sur,Las Flores,Urbana,"(6.174345526, -75.57832737)"
2180026,06/01/2018,9:30 a.m.,Sábado,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Herido,Choque,Impericia en el manejo,Diagonal 30 B Transversal 32 D Sur,Las Flores,Urbana,"(6.174345526, -75.57832737)"
2180051,06/01/2018,1:40 p.m.,Sábado,Automovil,Publico,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Poner en marcha un vehiculo sin precauci,Calle 33 B Sur Carrera 45,Zona Centro,Urbana,"(6.174167802, -75.58799211)"
2180051,06/01/2018,1:40 p.m.,Sábado,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Poner en marcha un vehiculo sin precauci,Calle 33 B Sur Carrera 45,Zona Centro,Urbana,"(6.174167802, -75.58799211)"
2180053,06/01/2018,8:50 p.m.,Sábado,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Solo Daños,Choque,Embriaguez aparente,Calle 25  Sur Carrera 42,Las Orquideas,Urbana,"(6.179561127, -75.57986633)"
2180006,01/01/2018,1:00 p.m.,Lunes,Campero,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,Impericia en el manejo,Carrera 48 Calle 30  Sur,Las Vegas,Urbana,"(6.179366643, -75.5880841)"
2180005,01/01/2018,7:00 p.m.,Lunes,Motocicleta,Particular,Motociclista,Femenino,No,Sin Registro,Herido,Choque,No respetar prelacion,Carrera 48 Calle 25 A Sur,Las Vegas,Urbana,"(6.184740152, -75.58365742)"
2180005,01/01/2018,7:00 p.m.,Lunes,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Herido,Choque,No respetar prelacion,Carrera 48 Calle 25 A Sur,Las Vegas,Urbana,"(6.184740152, -75.58365742)"
2173913,01/01/2018,10:30 a.m.,Lunes,Automovil,Particular,Conductor,Femenino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Carrera 48 Calle 34  Sur,Las Vegas,Urbana,"(6.175414344, -75.59078218)"
2173913,01/01/2018,10:30 a.m.,Lunes,Motocicleta,Particular,Motociclista,Masculino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Carrera 48 Calle 34  Sur,Las Vegas,Urbana,"(6.175414344, -75.59078218)"
2180002,01/01/2018,8:30 p.m.,Lunes,Automovil,Particular,Conductor,Masculino,No,Sin Registro,Solo Daños,Choque,No mantener distancia de seguridad,Tramo 12 Kilometro  0,Vereda Palmas,Rural,
