SEDE,Direccion,Telefono,Ext,Horario de Atencion,Funcionario Enlace,Correo electronico,Coordenadas
Agencia Pública De Gestión Y Colocación Para El Empleo,Carrera 43A 38 Sur 60,3394000,4682,Lunes a jueves de 7:00 am a 12:00 pm y de 2:00 pm a 6:00 pm. Viernes de 7:00 am a 12:00 pm y de 1:00 pm a 5:00 pm.,Claudia Patricia Uribe Huertas,claudia.urive@envigado.gov.co,"(6.169993, -75.588881)"
Archivo Central Municipio De Envigado,Diagonal 31 34B Sur 36,3331213,No aplica,Lunes a jueves de 7:30 a.m. a 12:00 m y de 1:30 p.m.a 4:30 p.m. y Viernes de 7:30 a.m. a 12:00 m y de 1:00 p.m. a 4:00 p.m.,Indira Daliana Sánchez Torregrosa,indira.sanchez@envigado.gov.co,"(6.17246, -75.579065)"
Carcel,Carrera 43A 38 Sur 35,3394000,4034,"El servicio se prestara de manera permanente, es decir las 24 horas del dí­a.",Hernán Arroyave Múnera,hernan.arroyave@envigado.gov.co,"(6.169554, -75.588343)"
Casa De Justicia,Calle 40 Sur 24F 106,3394000,4713 - 4731,Lunes a jueves de 7:00 am a 12:00 pm y de 2:00 pm a 6:00 pm. Viernes de 7:00 am a 12:00 pm y de 1:00 pm a 5:00 pm.,Carlos Arturo López García,carlos.lopez@envigado.gov.co,"(6.151587, -75.577587)"
Casa De La Cultura Miguel Uribe Restrepo,Carrera 45 34A Sur 65,3394000,4426,Lunes a jueves: 7:00 a.m. a 7:00 p.m. y Sábado: 8:00 a.m. a 6:00 p.m.,Clara Elena Vargas Aristizabal,clara.vargas@envigado.gov.co,"(6.1730703, -75.5909568)"
Centro De Encuentro Ciudadano Y Vida Casa El Escobero,Calle 36D Sur 27 40,3394000,4773,Lunes a jueves de 7:00 am a 12:00 pm y de 2:00 pm a 6:00 pm. Viernes de 7:00 am a 12:00 pm y de 1:00 pm a 5:00 pm.,Luz Dary Castro Jaramillo,luz.castro@envigado.gov.co,"(6.1625587, -75.5707319)"
Centro De Encuentro Ciudadano Y Vida Casa Linares,Calle 36 Sur 25 132 Loma del Chocho,3361590,No aplica,Lunes a jueves de 7:00 am a 12:00 pm y de 2:00 pm a 6:00 pm. Viernes de 7:00 am a 12:00 pm y de 1:00 pm a 5:00 pm.,Claudia Milena Salazar Velásquez,claudia.salazar@envigado.gov.co,"(6.167601, -75.566047)"
Centro De Encuentro Ciudadano Y Vida El Salado,Calle 40 Sur 24E 75,3394000,4830,Lunes a Jueves de 8:00 a.m. a 1:00 y de 2:00 p.m. a 6:00 p.m. Viernes de 8:00 a.m. a 12:00 m. y de 1:00 p.m. a 5:00 p.m.,Ruby Janet García González,ruby.garcia@envigado.gov.co,"(6.1493855, -75.5769002)"
Centro Gerontológico Atardeser,Transversal 34E Sur 33A 35,3394000,4355,Lunes a jueves de 7:00 am a 12:00 pm y de 2:00 pm a 6:00 pm. Viernes de 7:00 am a 12:00 pm y de 1:00 pm a 5:00 pm.,Diana María Andrade Cuervo,diana.andrade@envigado.gov.co,"(6.1693357, -75.5833107)"
Comisaría Primera Y Segunda,Carrera 43A 38 Sur 54 Primer piso,3394000,4035 - 4091,"Lunes a jueves de 7.00 a.m. a 12:00 m y de 2:00 p.m. a 6:00 p.m. a Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m. NOTA: Cada semana, una de las comisarias de familia estaría de turno en jornada continua de 7:00 a 4:00",Zulma Stella Isaza Arango,zulma.isaza@envigado.gov.co,"(6.1700597, -75.5889532)"
Comisaria Tercera,Calle 40 Sur 24F 106,3394000,4433,"Lunes a jueves de 7.00 a.m. a 12:00 m y de 2:00 p.m. a 6:00 p.m. a Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m. NOTA: Cada semana, una de las comisarias de familia estaría de turno en jornada continua de 7:00 a 4:00",Dora Emilse Hernández Montoya,dora.hernández@envigado.gov.co,"(6.1520872, -75.5776474)"
Concejo,Carrera 43 38 Sur 35 Primer Piso,3394000,4055,Lunes a jueves de 7.00 a.m.- 12:00 m y de 2:00 p.m.- 6:00 p.m. Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m.,Honorio Upegui Velásquez,honorio.upegui@envigado.gov.co,"(6.169799, -75.588265)"
Correspondencia,Calle 38A Sur 43 66,3394000,4390,Lunes a jueves de 7.00 a.m.- 12:00 m y de 2:00 p.m.- 6:00 p.m. Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m.,Olga Bibiana Acosta Posada,olga.acosta@envigado.gov.co,"(6.169627, -75.588923)"
Departamento Administrativo De Planeación,Carrera 43 38 Sur 35 Cuarto Piso,3394000,4028,Lunes a jueves de 7.00 a.m.- 12:00 m y de 2:00 p.m.- 6:00 p.m. Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m.,Diana Gisella Echavarría,diana.echavarria@envigado.gov.co,"(6.169799, -75.588265)"
Dirección de Cultura,Calle 37 Sur 45B 27,3394000,4079,Lunes a jueves de 7.00 a.m.- 12:00 m y de 2:00 p.m.- 6:00 p.m. Viernes de 7:00 a.m. a 12:00 m y de 1:00 p.m. a 5:00 p.m.,Maria Patricia Murillo López,maria.murillo@envigado.gov.co,"(6.172521, -75.5908885)"
